EmployeeID,Name,HighestDegree,Division,DivisionAddress,DivisionPhone,PersonalAddress,Email,PhoneNumber,Department,DepartmentDescription,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
436822,Steven Sean Johnson,MA,South Division,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"929 BECK COURSE, JAMESVIEW, TX 86189",STEVEN_JOHNSON_145@KLB.COM,001-983-309-3096x7139,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 2,"Provides administrative support within the South Division, assisting with scheduling, documentation, and communication tasks.",43996.06,12/10/1971,149 51 0794
224873,Robert Matthew Schultz,CTE,North Division,"123 NORTH ST, SPRINGFIELD, IL 62701",(217)555-1234,"3392 Jared Stravenue, North Carmenside, IL 81132",ROBERT_SCHULTZ_117@KLB.COM,696.415.7443,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",37820.64,1/18/2005,097 83 2017
494157,Donna Brittany Ford,AB,North Division,"123 North St, Springfield, IL 62701",(217)555-1234,"332 VICTORIA PARKWAY, SETHBERG, IL 44937",DONNA_FORD_151@KLB.COM,,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 5,"Provides administrative support within the North Division, assisting with scheduling, documentation, and communication tasks.",47606.65,1965.02.13,
460666,"TERESA JENNIFER HERNANDEZ, THD",MA,South Division,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"36066 MUNOZ ROAD, CAMPBELLLAND, TX 17454","teresa_jennifer_hernandez,_thd_162@klb.com",(894)497-2204x298,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",SECRETARY LEVEL 5,"Provides administrative support within the South Division, assisting with scheduling, documentation, and communication tasks.",41088.33,5/21/1975,421 73 2111
471359,Christopher Perry Lopez,AB,West Division,"101 WEST DR, SACRAMENTO, CA 94203",(916)555-5678,"29967 Patricia Wall, Jamesstad, CA 70726",christopher_perry_lopez_100@klb.com,001-859-491-9776x385,ADMINISTRATIVE,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 6,"Provides administrative support within the West Division, assisting with scheduling, documentation, and communication tasks.",45006,10/1/1973,343-92-4420
246405,Maj Paul Carlos Guerra,HS,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"174 Lucas Groves Apt. 124, Lesliefurt, CA 24625",MAJ_PAUL_CARLOS_GUERRA_188@KLB.COM,(808)269-2953x707,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 5,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",35745.11,1983.01.16,002-93-2875
203252,Martin David Brown,CTE,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"213 Brittney Corners, North Chris, CA 47691",martin_brown_143@klb.com,(833)539-0926x810,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",34753.84,9/14/1974,136 76 2413
106911,Catherine Rebecca Hurley,MA,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"30621 STANLEY SPRINGS APT. 328, EAST DEBORAH, NY 10696",catherine_hurley_109@klb..com,(814)543-8441,HR,Manage all human resource need of the organization,HR Manager Level 1,"Provides strategic workforce planning, manages employee performance, and oversees HR policies as HR Manager Level 1.",100125.29,1989.08.01,896 85 7974
231766,TONY KRISTOPHER MORRISON,HS,WEST DIVISION,"101 WEST DR, SACRAMENTO, CA 94203",(916)555-5678,"65024 Michael Dale, East Loriville, CA 61034",tony_morrison_111@klb.com,(262)899-8075x1417,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",34080.11,1993.09.21,362 66 9854
211506,MICHAEL BARRY COOK,PhD,,,(916)555-6789,"1658 Andrew Springs, South Carly, OH 80087",michael_cook_148@klb.com,584.843.2102x1488,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Lead Operations Manager,"Oversees all operations within the Central Division, ensures key performance metrics are met, and drives process innovation.",288227.22,1976.05.22,054 32 3942
292115,Genrl Kylie Donna Mitchell,CTE,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"87315 Mcdonald Cliff Suite 542, West Johnburgh, NY 65474",genrl_kylie_donna_mitchell_177@klb..com,(437)775-2475,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 4,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE EAST DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",33171.39,6/12/1973,191-27-3004
227799,Martin John Cox,CTE,SOUTH DIVISION,"456 South Ave, Austin, TX 73301",(512)555-6789,"809 Walters Dam, Gilesmouth, TX 31635",MARTIN_COX_155@KLB.COM,930-530-9847,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"Performs production and operational tasks within the South Division, ensuring quality and efficiency in processes.",36298.69,1970.12.30,113 70 8907
214585,Kayla Amber Salazar,GED,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"520 Gordon Prairie, North Jonathanborough, CA 76825",KAYLA_SALAZAR_113@KLB..COM,3917132288,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 3,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",37036.15,8/11/1986,789 58 9775
247862,Robert Jeremy Wong,BS,SOUTH DIVISION,"456 South Ave, Austin, TX 73301",(512)555-6789,"272 Brennan Cliff, East Gregory, TX 73914",robert_wong_198@klb.com,001-631-308-7201x18315,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the South Division, ensuring quality and efficiency in processes.",32242.21,4/19/1981,044 54 5692
268775,"Margaret Karen Lee, ThD",CTE,North Division,"123 NORTH ST, SPRINGFIELD, IL 62701",(217)555-1234,"059 Martinez Plain, New Danielleshire, IL 29506","margaret_karen_lee,_thd_191@klb.com",604.365.3873x647,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 9,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",,1999.09.03,058/53/8003
259582,Justin Dean Brown,BS,East Division,"789 EAST BLVD, ALBANY, NY 12201",(518)555-1234,"670 HORTON RIDGE, SOUTH EILEEN, NY 89412",justin_brown_168@klb.com,001-328-957-8538x30959,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 4,"Performs production and operational tasks within the East Division, ensuring quality and efficiency in processes.",33463.67,1/24/1977,732 74 5184
486799,Lauren Mia Flowers,AB,North Division,"123 North St, Springfield, IL 62701",(217)555-1234,"7954 Tara Parks, South Erin, IL 69076",lauren_flowers_140@klb.com,698-324-7414x0703,ADMINISTRATIVE,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",SECRETARY LEVEL 5,"Provides administrative support within the North Division, assisting with scheduling, documentation, and communication tasks.",44596.64,9/22/1967,501/40/0084
294419,Autumn Joanna Coffey,AB,SOUTH DIVISION,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"54831 EDWARD VIADUCT, KHANSIDE, TX 69376",autumn_coffey_200@klb.com,558-798-0963,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE SOUTH DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",30618.87,1992.09.25,673/31/8290
288096,Zachary William Miller,GED,CENTRAL DIVISION,"202 Main St, Columbus, OH 43085",(916)555-6789,"228 Kristie Mountains, South Jillian, OH 15440",zachary_miller_199@klb..com,-3141,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",36642.44,2/9/1993,243-87-9457
209735,Tiffany Adriana Burton,GED,Central Division,"202 MAIN ST, COLUMBUS, OH 43085",(916)555-6789,"183 Donna Plains, Smithberg, OH 70138",tiffany_burton_194@klb.com,519.600.9879x888,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE CENTRAL DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",37663.34,5/10/1998,685-52-5428
227712,James Richard Davis,MA,Central Division,"202 Main St, Columbus, OH 43085",,"6633 BRANDON DALE, ELAINEPORT, OH 77448",james_davis_195@klb.com,722-626-3503,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Lead Level 3,"ENSURES SMOOTH DAILY OPERATIONS, MANAGES RESOURCE ALLOCATION, AND RESOLVES WORKFLOW CHALLENGES AS OPERATIONS LEAD LEVEL 3.",102113.27,1992.06.08,609 47 9573
344447,KEITH DARREN RODRIGUEZ,BS,Central Division,"202 Main St, Columbus, OH 43085",(916)555-6789,"856 Destiny Motorway, Markhaven, OH 28102",keith_darren_rodriguez_139@klb.com,(551)896-4588x866,Engineering,Develop and maintain product design specifications and manufacturing protocols.,Engineer Level 1,"WORKS ON TECHNICAL PROJECTS, ENSURES COMPLIANCE WITH SAFETY STANDARDS, AND PROVIDES ENGINEERING SOLUTIONS AS ENGINEER LEVEL 1.",84989.7,1994.01.12,773/95/5229
270173,"Anthony Gregory Bell, BA",GED,CENTRAL DIVISION,"202 MAIN ST, COLUMBUS, OH 43085",(916)555-6789,"447 Ashley Isle, West Jacobmouth, OH 89081","anthony_gregory_bell,_ba_176@klb..com",2808751200,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 1,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE CENTRAL DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",32122.53,12/30/1978,124 81 0897
285825,Edward Dalton Wilkerson,HS,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"4974 Mckinney Springs, East Cameronborough, NY 01833",EDWARD_WILKERSON_177@KLB.COM,226.881.7298x2530,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 8,"Performs production and operational tasks within the East Division, ensuring quality and efficiency in processes.",41874.86,7/26/2001,861/77/3030
